X,Y,W,H
2.672,2.876,6.5,27
1.922,33.376,6.5,27
2.205,62.701,6.5,27
3.205,124.194,6.5,27
2.672,156.62,6.5,27
1.197,187.317,6.5,27
1.439,217.126,27,6.5
64.18,216.052,27,6.5
108.083,194.876,6.5,27
158.164,216.052,27,6.5
219.731,216.911,27,6.5
240.922,154.748,6.5,27
240.639,123.974,6.5,27
240.639,63.11,6.5,27
240.922,29.429,6.5,27
194.761,-14.374,27,6.5
162.261,-14.374,27,6.5
133.172,-10.624,6.5,27
61.083,-14.374,27,6.5
28.583,-14.374,27,6.5
199.761,12.626,27,6.5
121.922,47.376,6.5,27
28.922,94.626,6.5,27
61.672,104.876,27,6.5
161.672,104.876,27,6.5
212.636,94.626,6.5,27
121.922,141.876,6.5,27
183.677,198.894,27,6.5
